skids,gloms,notes
16,VA6,
21999,VL2a,
22132,VC1,
22277,VC3m,
22422,DL2v,
22594,DM5,
22744,VC3m,
22906,VA5,
22976,VL2p,
23134,VC3l,
23432,VA2,
23512,VM5v,
23569,VA4,
23597,VM4,
23829,DL4,
24251,VM7v,
24622,D,
24726,VM1,
27048,DP1l,
27246,VM3,
27295,DA1,
27303,DL1,
27611,DM5,
27884,V,
28876,DM3,
30434,VM5v,
30791,DL2d,
30891,DM1,
32214,VA7m,
32399,DC3,
33903,DL3,
35246,D,
35447,VM5d,
36108,VA7m,
36390,VA1d,
37250,DA4m,
37935,VC4,
38885,DA2,
39139,VM5d,
39254,VC5,
39668,DL5,
39682,DM4,
40306,VM7d,
40637,D,
40749,DA4l,
40790,VM7d,
41308,VM3,
41578,VC3l,
42421,VA1d,
42927,VC4,
43539,VM7v,
45242,VC2,
46493,DC4,
46800,VC3l,
49026,adPN polyL,
49865,VM5d,
51080,VA1v,
51886,VM2,
52106,VA1v,
53631,DA2,
53671,VM5v,
54072,VM2,
55085,VC4,
55125,VA1v,
56424,DM2,
56623,DL2v,
57003,VM4,
57241,DC3,
57246,VA1v,
57254,adPN polyL,
57266,adPN polyL,
57274,DP1l and VL2p,
57307,DM6,
57311,DA1,
57319,VA3,
57323,DA1,
57333,DL2d,
57337,DL2d,
57341,DL2d,
57349,DA3,
57353,DA1,
57361,VA5,
57365,VA5,
57381,DA1,
57385,DM5,
57402,DC2,
57410,VA7l,
57414,DC3,
57418,DA2,
57422,DA2,
57499,VL1,
58686,DP1m,
59129,VM5v+X,
60799,DM6,
61221,DA1,
61773,DL2v,
62434,VM5d,
65465,DA3,
65762,DC2,
67408,DM2,
67637,DL2v,
68697,DM6,
73937,VL1,
165303,VA3,
186573,VA7m,
192547,V,
400943,VC3m,
581536,DL3,
755022,DA1,
771242,DC1,
775731,VM1,
1775706,DL1,
1785034,DA2,
2863104,DA1,
11544074,DL1,
11524119,VP1m,
11544121,VM7d,
37513,VP3+VP11,
57516,VP2,
45882,VP3+VP11,
