"","lo_x","lo_y","lo_z","x","y","z","Moll_x","Moll_y"
"359",336865.71454912,257943.739374746,217258.851344667,0.705801676266934,-0.706659624575589,0.0497611170842628,0.707112719276795,0.0552847888207176
"336",376665.17510553,276377.701006677,224688.973367243,0.0185200559645359,-0.954643408411641,-0.29717498263359,1.357431729843,-0.33318689950022
"334",381761.709224921,277195.170075048,226609.849728726,-0.105480720953764,-0.931426688771662,-0.34830753788991,1.45636202390754,-0.391949439625417
"331",388285.554911349,278259.174607325,227809.22884361,-0.240224223682285,-0.879075831620144,-0.411725642409598,1.56203235600819,-0.465881449951891
"329",393905.178038968,276998.61918671,230200.717753222,-0.402089995997915,-0.780652692099951,-0.478440183759157,1.69999275801511,-0.545239538578206
"357",341221.761410217,260839.522150761,218321.798953801,0.654304175159601,-0.755812884836946,0.0251580898155729,0.771654664985034,0.0279454307646942
"355",344839.273094451,263162.024652985,218796.520774455,0.599037038265186,-0.800713448522838,-0.00354966775029634,0.835934746818529,-0.00394269371760122
"353",348805.513734412,265262.294158751,219981.178069621,0.533074952907369,-0.845181092135899,-0.0387300410376138,0.907181866158286,-0.0430248976507216
"352",353828.93118944,267975.590652836,221395.94519046,0.4687245153075,-0.880022921387726,-0.0765309517905113,0.971829336946426,-0.0850558208184962
"351",359879.341534971,270753.424397662,221980.740187419,0.392954585571031,-0.912325781162389,-0.115101532158071,1.04374885634984,-0.128020721384946
"350",366537.078684779,272771.086460905,223281.374351619,0.314931252047296,-0.936108985064937,-0.156583123498725,1.11347202098862,-0.1743628885722
"346",373765.813429097,273639.432250804,226077.929523382,0.225701557057948,-0.953564250235333,-0.199434269409109,1.18996810065399,-0.222436349538524
"340",373357.147024346,273906.367449466,225093.160256214,0.136810614163193,-0.963014615978646,-0.232132947389616,1.26534021121781,-0.259295068901515
"361",332483.117961229,255650.692898783,215996.184213621,0.746823025234559,-0.661232741546311,0.0708987340271391,0.65143392787001,0.078789471913485
"362",329154.759939615,253280.913413303,214895.929147968,0.788515526998701,-0.608023721597402,0.0924684684463095,0.589824959073074,0.102797240933063
"371",302097.818878839,233898.825282651,205468.458604099,0.942456407603729,0.0770056075256649,0.325339908674417,-0.070906076188767,0.365471413533288
"366",298402.976097254,231656.288514921,204203.447447305,0.926138460267668,0.165551432637906,0.338910424101371,-0.15336228596657,0.38109873025351
"363",296081.7139547,230531.850780813,203093.213901936,0.894194116839206,0.292567929425756,0.338852310131832,-0.274159407223603,0.38103170292075
"356",290306.068784077,227740.855894869,202202.56338065,0.848437106183125,0.421687846435337,0.319896603639883,-0.401658705072408,0.359216641370568
"365",325724.478346611,250053.572888002,213791.667919301,0.825834085392445,-0.549656402470373,0.12599961360001,0.526105223210748,0.140180273888041
"367",322457.168163981,248029.95050437,212924.699148704,0.858639549859662,-0.487142385303649,0.159469181528812,0.460939356412827,0.177593603759274
"368",319669.937836341,244751.420896165,212553.108348669,0.885985429617455,-0.425468321563988,0.184408583995154,0.398790483485531,0.205552494306889
"370",315521.557092363,242256.136824418,211647.069733492,0.91075382046497,-0.357249945717536,0.207123042641999,0.332027310560282,0.231088391192368
"372",310563.510477904,239695.893840641,210130.76170116,0.93078015512825,-0.27924132815442,0.235950383491924,0.257810754606257,0.263609547458618
"373",307329.597168782,237759.502095331,209103.907712166,0.943232836056141,-0.199448859452933,0.265578556077884,0.183421308430818,0.297185573187202
"375",305300.356069338,237065.411711661,207916.272766198,0.948742961971852,-0.117058507298176,0.293571282618039,0.107491167110746,0.329069750362551
"374",304064.580867396,235636.17050292,206783.740841506,0.947884372093788,-0.0240569655408071,0.317705019710634,0.0221061952261761,0.356700471857635
"136",330060.217350707,287308.195824274,199356.430783952,0.958157043478028,-0.140785762003857,-0.249227705623666,0.128772524815484,-0.278635733311091
"124",370757.418038939,301347.852631362,203382.692622935,0.544954740052344,-0.589981985920924,-0.595773100755048,0.648332110336515,-0.690212036536389
"126",375962.444231634,302390.94295936,203336.305415457,0.46348405447202,-0.615612682179013,-0.637341005106794,0.708658123495161,-0.743782835343083
"130",380574.32517509,302799.702948331,204411.104089619,0.371946215416917,-0.631468484192965,-0.680370168590651,0.770613867347901,-0.80084277534007
"132",383670.108299372,303261.869588128,205324.521498362,0.270508323293615,-0.630155454426617,-0.727825082204001,0.829382619546811,-0.866100545809484
"135",386355.576812336,303759.89793455,206349.451486219,0.170260177271896,-0.596524796232249,-0.784327507815081,0.863731603931746,-0.947930865256348
"139",388522.83430955,303507.696672442,207265.324934638,0.016407013876567,-0.56578664678865,-0.82438842799454,0.972035495994525,-1.00959444175901
"134",337693.905661596,289211.797066005,198884.44598514,0.937921519542804,-0.202053789921765,-0.281917521904489,0.186210044376346,-0.315775521368668
"133",339241.162888151,290745.620006962,197896.948054115,0.911563923385899,-0.26435998373809,-0.314904767476301,0.246060318768671,-0.353487239089202
"131",342702.404340968,292562.814228449,197686.94371426,0.877989284123924,-0.323625868186521,-0.352705421568878,0.305156838363262,-0.39703615874744
"128",346908.68683984,294723.219893135,199329.173585,0.838132736944945,-0.386131174926284,-0.38527422832474,0.369850396098378,-0.434886409738692
"127",351300.456168896,296573.821389701,200189.689082135,0.792712640095857,-0.436354285822098,-0.425677821218047,0.425870761884717,-0.482330411692839
"125",356101.304257638,297929.384204974,201527.844791776,0.741439640116896,-0.481376990991179,-0.467486312748947,0.480349266288382,-0.532080891179711
"123",361270.468866689,299674.978014464,202469.885991343,0.685996171861932,-0.519623166186283,-0.509314261878968,0.531811525960611,-0.582635271561087
"122",365872.607463751,300765.892254566,203118.327504091,0.619762738035136,-0.555338992262814,-0.554520290174953,0.58698338740843,-0.638305282306986
"138",323519.675852199,285914.274307477,197613.370149768,0.972299344043083,-0.0803436185333019,-0.219496898689632,0.0731041958719333,-0.245031311047458
