"x","y","z"
247112,283861.333333333,190322.463768116
311025.073142857,302779.747428571,151249.142857143
317450.112173913,301848.215652174,148238.260869565
327650.124,302546.109066667,144802.4
332926.247727273,298560.975227273,140450
251904.168478261,286890.47826087,184457.608695652
256928.690314961,288073.881496063,181259.212598425
263210.921568627,291217.610849673,174483.660130719
270058.019042553,292897.133829787,171839.14893617
277388.176165803,295826.896373057,167435.025906736
285908.645490196,296896.738823529,162024.31372549
291890.492093023,297388.519069767,159238.139534884
301093.631578947,299945.607017544,154941.754385965
242345.3432,280588.154333333,194416.333333333
240353.318592965,278420.518592965,198820.703517588
222422.369152207,243042.607895893,246123.103448276
225711.450700163,242922.293428269,252334.193548387
224585.972413793,238690.144827586,257102.620689655
223637.178378378,241391.500810811,260590.27027027
236004.074071146,275702.451343874,204758.735177866
234851.294247492,269858.890802676,210166.287625418
233064.980926431,263791.258855586,216647.302452316
231140.026717557,259287.541984733,220996.030534351
230169.025641026,255918.495726496,226074.017094017
227415.125,251315.875,231567.03125
220838.924242424,249299.363636364,237366.060606061
219871.68627451,245003.294117647,240415.490196078
258090.254826255,325939.891891892,230072.123552124
301725.757961783,336958.573248408,181770.955414013
308295.801652893,338513.719008264,178656.033057851
314827.220779221,339140.987012987,174816.103896104
321834.292307692,340511.530769231,171039.076923077
327619.059760956,341871.426294821,168365.896414343
334454.173228346,341347.023622047,165645.354330709
261747.202307692,326965.109230769,224028.461538462
265941.87755102,328551.945578231,216334.965986395
271816.539230769,332612.042307692,210981.538461538
274918.360178571,334264.203214286,204197.857142857
280084.571428571,334656.952380952,199109.761904762
284461.052631579,336077.754385965,193753.684210526
290284.20233463,336894.007782101,189243.73540856
295552.125,337038.125,185213.125
251488,323154.040268456,235759.194630872
244632.772584245,319200.641580924,241609.481481481
244547.750085611,315479.839326074,247802.580645161
243263.548387097,314304.943548387,253153.225806452
243096.352201258,316324.226415094,258705.157232704
238852.090163934,311751.106557377,262507.868852459
257415.794871795,328799.452991453,234352.478632479
303664.166666667,342122.166666667,186376.041666667
307670.109090909,342545.454545455,182518.545454545
314374.868292683,342876.87804878,179345.170731707
321790.686567164,343912.358208955,176006.119402985
327069.907563025,344795.260504202,172909.411764706
332480,345244.5,170398.75
338822.308510638,349375.14893617,171857.021276596
264367.67878453,330501.701104972,227705.414364641
267436.892526882,331732.472365591,221238.709677419
274025.53,335050.05372093,216264.186046512
279651.287175573,336894.801832061,209832.977099237
280595.907834101,338691.686635945,203772.718894009
286852.589552239,340079.958955224,198871.044776119
290838.857142857,340836.70995671,194002.424242424
296243.605633803,341690.929577465,189743.098591549
252085.103942652,326627.440860215,239220.501792115
248786.20866242,325586.636369427,245428.4
249429.5,321419.727272727,252990.909090909
246566.946236559,320459.150537634,258219.35483871
247388.191304348,320937.495652174,261366.608695652
257131.798882682,332469.810055866,238666.368715084
303625.558441558,346354.008658009,190503.376623377
309814.666666667,347985.333333333,187410.454545455
315813.737051793,347578.517928287,184357.928286853
320932.221811321,348015.429433962,180161.358490566
325726.719626168,349479.644859813,177708.411214953
332347.087431694,349443.213114754,174875.191256831
334992.549019608,351264.696078431,177836.470588235
264897.422468619,334052.292217573,233018.744769874
270719.777614679,336200.318486239,226716.880733945
274444.612427821,336838.369330709,221539.632545932
280922.741849315,339501.906986301,214582.739726027
283997.298387097,342519.096774194,207506.129032258
288715.466666667,343733.733333333,203992.666666667
292988.103321033,344357.904059041,198763.394833948
298727.00729927,345356.145985401,193571.386861314
254443.505039103,330883.985648633,244783.797468354
257264.615262126,328513.59238731,250845
253993.809322034,328438.288135593,256606.779661017
250815.930555556,326039.027777778,260850.555555556
262849.621399606,336795.683733464,243911.70212766
305970.120481928,351006.843373494,194965.78313253
311991.510204082,352530.503401361,192245.442176871
316845,353515.375,187867.5
322426.28956229,352680.61952862,185643.771043771
327320.823529412,354377.617647059,184079.215686275
334006.381443299,353558.144329897,180871.340206186
265719.633027523,339074.201834862,238701.467889908
272632.093714286,339712.497142857,232456
276403.871428571,340780.342380952,225916.19047619
281972.578778135,342602.906752412,218572.990353698
287112.895306859,344762.108303249,213375.451263538
291498.01980198,347268.772277228,210139.00990099
295357.62962963,348582.572390572,203366.734006734
299152.344262295,349127.836065574,197543.606557377
261347.248846349,335350.932279484,248818.075313808
259902.287128713,332659.138613861,254815.445544554
256795.479452055,332015.246575342,259600
266895.973511759,341056.365534664,249518
307312.582995951,353572.663967611,200657.813765182
313518.754385965,355845.403508772,196677.894736842
317975.526315789,356966,193406.315789474
324916.906666667,357883.093333333,191856.8
329539.25,358815.25,189879.375
333421.527777778,357634.203703704,186077.407407407
268700.797394325,341127.781239143,244802.181818182
270370.509803922,343620.078431373,237581.960784314
280007.716410256,345876.352820513,230859.487179487
283689.55234657,346343.375451264,223966.353790614
287291.569230769,347125.415384615,219165.384615385
294306.374193548,349539.509677419,213997.290322581
297991.515283843,351429.489082969,207931.179039301
303266.384313726,352805.898039216,203952.31372549
266751.333333333,339299.333333333,253712.777777778
257807.345454545,336954.936363636,258998.909090909
271770.050420168,344016.403361345,253885.714285714
309740.703703704,358185.037037037,206182.222222222
313088.434806202,357832.698372093,201164.341085271
319329.565217391,359377.565217391,198897.608695652
325268.298507463,361298.388059701,198017.910447761
330302.435483871,362244.209677419,197429.032258065
272197.947479006,345484.981848843,248464.744186047
273505.828291368,346072.994936126,242093.658536585
280043.705197368,348172.801184211,235186.578947368
286204.352331606,349040.74611399,230723.937823834
290529.92,350093.44,225200
295499.923954373,352295.543726236,219038.479087452
297843.79661017,353335.050847458,213978.305084746
305204.380952381,355951.714285714,210612.380952381
312424.490566038,359927.327044025,212017.358490566
317275.261627907,362029.930232558,207343.255813953
322357.869346734,363070.874371859,205625.125628141
326337.294117647,364612.986928105,203922.614379085
276828.493333333,349298.706666667,252760
279313.902521949,349220.946806679,246493.513513514
282676.416299376,352181.988856549,241888.648648649
284955.308900524,352579.35078534,237093.193717277
293792.79338843,354026.842975207,231438.512396694
298739.768888889,354999.608888889,226010.844444444
301741.381818182,355963.054545455,219738.909090909
307032.294314381,357819.719063545,216525.217391304
313570.211981567,362221.566820276,217911.705069124
318356.849710983,362956.473988439,213575.49132948
322505.215827338,365679.28057554,211276.54676259
282564.927842652,354250.833244869,247163.333333333
288360.389854842,354614.45814666,242560.8
292775.87244898,357489.933673469,236921.020408163
300677.677419355,358250.064516129,231937.741935484
305347.706293706,359461.006993007,227313.286713287
308135.31838565,360140.340807175,222000
313180.154696133,363802.464088398,223648.17679558
316646.130044843,366072.955156951,220701.883408072
294342.038461538,358604.038461538,240614.615384615
295767.515625,362792.421875,238384.375
306435.40952381,364873.252380952,231964.19047619
309342.20661157,364417.842975207,227668.760330579
246423.45045292,289073.39057211,193673.087008343
308958.56,306510.817435897,154533.333333333
317026.866496063,306318.725570866,151147.874015748
325048.438787879,307088.63030303,147122.424242424
333511.384695652,306809.463304348,143780.173913043
251550.693385417,292599.9528125,188381.041666667
256758.649495798,292860.696386555,184680.336134454
261994.478943662,295655.008169014,179345.915492958
270185.791044776,299887.28358209,173553.432835821
277067.496974359,301908.258769231,169656
283213.134222222,300436.130666667,164989.333333333
291139.899111111,302771.394666667,161309.333333333
299575.793939394,305819.503030303,156018.181818182
242786.382171651,285753.7436671,198857.21716515
240423.829882353,284078.957705882,204554.352941176
221476.524252817,250307.671679108,250196.470588235
224068.50673913,248054.053043478,257747.826086957
222936.366197183,247171.422535211,260763.943661972
237783.0135,279235.844416667,208913.666666667
234716.973880597,274284.711343284,213773.731343284
232059.515555556,269815.8,220243.911111111
231414.068965517,264694.871473354,225486.394984326
228529.494809689,261038.062283737,230472.249134948
222633.61849711,256960.369942197,235344.277456647
221268.210526316,255286.135338346,240931.428571429
220715.413311211,250586.650316244,244292.727272727
247205.340501792,294632.014336918,197014.480286738
306286.093652695,309037.651257485,157064.431137725
313000.711333333,310088.522,154120.888888889
323263.27245614,312273.478245614,150432.280701754
332459.903529412,311711.463529412,145824.705882353
251780.156922141,296999.209476886,192094.257907543
257054.062474747,299550.713484849,187823.838383838
262733.235866667,300142.369066667,182803.466666667
268748.456375839,301653.046979866,177782.818791946
273913.32748538,303810.660818713,173900.584795322
283349.8255,306768.5835,167996.5
289607.445333333,306033.802666667,164934.222222222
297238.264556962,307598.932278481,160064.303797468
242447.252942779,289035.720381471,203352.261580381
240310.849850187,288363.516966292,207517.003745318
222365.297029703,253332.524752475,254763.168316832
224211.92172043,254564.209677419,261188.817204301
221093.641025641,251135.666666667,262249.914529915
238273.738458333,283753.808625,213602.833333333
234775.934350877,278915.669789474,217824.701754386
232985.933649289,273896.341232228,225405.497630332
229777.230769231,268993.230769231,229271.048951049
225801.831325301,266059.951807229,233930.602409639
221391.036649215,263681.261780105,239025.130890052
221212.678932756,261390.403835409,245114.385964912
225611.745570722,257128.155673969,249914.611398964
246960.144144144,297665.345345345,201833.633633634
303915.384545455,313732.955454545,160321.818181818
313124.518947368,314554.603684211,157283.157894737
320871.534545455,315254.005090909,153612.363636364
328896.493043478,315741.114347826,149143.47826087
335742.5805,314886.9035,146182
251746.45106383,301358.978723404,196097.021276596
256701.018668639,303793.638313609,191119.644970414
260580.603888889,305540.382037037,185165.185185185
266856.683760684,306232.52991453,181330.085470085
273626.285714286,308015.314285714,177241.714285714
281868.656716418,311005.850746269,170932.686567164
289090.737213115,311285.683934426,168228.852459016
296048.830192308,312962.858653846,163677.692307692
244660.879466019,296302.951395631,207778.737864078
242127.712230216,291491.557553957,212724.892086331
225919.487394958,261055.647058824,259881.680672269
221174.695238095,257115.561904762,263109.714285714
238609.206557377,288578.413114754,217558.557377049
235187.930909091,283448.025454545,222456.727272727
233431.86440678,278102.644067797,228236.271186441
227039.647058824,276775.450980392,234531.764705882
224096.516666667,272688.55,240139.333333333
223371.950514454,269632.650265153,245122.352941176
224978.89227019,266013.915703389,249851.851851852
223810.666666667,264802.40952381,253939.80952381
248471.62202381,303891.098214286,205495.357142857
304816.152380952,317558.247619048,162921.904761905
311733.806818182,317794.795454545,159027.121212121
318956.274117647,318833.332156863,155968.62745098
327709.466896552,318483.84091954,152286.666666667
336534.037365269,319652.905269461,149597.844311377
252834.807017544,306665.684210526,200403.50877193
257811.190983607,309396.277868852,193813.770491803
262713.038596491,310887.522807018,189440
267908.806285714,312478.236571429,184807.428571429
274216.581005587,313348.111731844,181048.715083799
281737.385714286,314256.638095238,175199.047619048
287773.633333333,315138.204761905,170805.142857143
296185.064039409,316672.315270936,166803.743842365
246558.4,301343.314285714,211836.571428571
242039.205298013,296152.688741722,217751.523178808
223698.375722543,266723.884393064,261909.36416185
239067.837735849,292925.633962264,222726.037735849
237147.540069686,289146.648083624,228078.048780488
231808.937728938,283674.256410256,232431.355311355
227152.168539326,283190.691011236,237966.741573034
225346.041786239,276664.289243968,244234.285714286
225680.984189366,276848.006730813,247713.191489362
227946.259259259,273180.111111111,254174.814814815
225175.808333333,269872.708333333,258811.333333333
250412.752941176,308741.964705882,209795.529411765
304216.549618321,321165.679389313,166591.450381679
311647.440559441,322081.79020979,162562.097902098
318067.628252788,322083.211895911,159204.460966543
324321.105454545,323779.229090909,156142.727272727
331481.217948718,324033.507692308,152792.820512821
338228.782013423,323701.167449664,148689.261744966
254249.411764706,311370.039215686,203222.352941176
258875.076923077,312655.058823529,198359.819004525
262278.08244898,315680.346734694,194858.775510204
268531.276404494,316980.642696629,189078.202247191
273914.725287356,316669.021149425,183849.655172414
281048.742268041,317716.233676976,178161.786941581
287158.504065041,319642.926829268,174263.089430894
294672.164948454,322317.195876289,170919.175257732
247168.317880795,303734.781456954,215284.105960265
243205.160337553,301112.654008439,221427.679324895
240445.179331307,296566.857142857,227497.993920973
236460.824074074,293120.25462963,231950.925925926
229082.319526627,289759.810650888,237519.053254438
226337.358560794,285885.210918114,242863.548387097
229478.29306139,285785.86536116,249455.744680851
230391.738095238,283758.166666667,253098.412698413
226947.166666667,282096.212962963,258004.814814815
224881.220588235,273657.345588235,262904.117647059
253328.397515528,311826.98136646,213678.260869565
302980.497991968,326855.710843373,170007.710843373
310367.294117647,326227.058823529,166445.441176471
317582.590673575,326584.373056995,162823.419689119
323628.13025641,327394.463589744,159809.230769231
331358.241463415,329055.241707317,157288.780487805
337862.405873016,326949.621349206,153440
255736.245508982,315349.125748503,208563.592814371
258698.215384615,316391.261538462,203226
264988.314285714,320813.771428571,197360
271936.424,322311.2225,192891
275326.375693161,321598.7725878,186746.321626617
281578.518518519,322168,182185.37037037
287703.246696035,323362.977973568,177361.762114537
296324.161434978,325255.031390135,174225.650224215
246952.210884354,307339.734693878,219906.394557823
245536.109589041,305610.739726027,226137.534246575
241546.622406639,303246.605809129,231411.618257261
234241.650793651,299847.873015873,237458.412698413
231040.601116625,295308.442307692,242016.129032258
231005.276523194,294372.513189217,246842.02020202
232147.902421652,289967.99002849,252186.296296296
228984.024390244,289074.408536585,257304.634146341
226448.553719008,284312.67768595,261923.636363636
255268.697247706,316822.899082569,217716.880733945
301243.596330275,329181.798165138,174068.073394495
308825.576642336,331953.051094891,170374.890510949
316265.915492958,330782.647887324,166344.037558685
322409.888412017,330816.824034335,163188.497854077
329259.097,331582.308,161340
336510.405535714,332470.323928571,157567.857142857
259008,318968.788732394,213233.521126761
261231.474444444,323434.133055556,207613.333333333
265603.975925926,323959.773148148,201912.592592593
271867.54887218,325265.92481203,195970.526315789
277285.394636015,326695.846743295,190679.38697318
281726.72,325874.285714286,187301.714285714
288084.161490683,328001.99378882,181661.118012422
295347.407407407,328043.555555556,178055.740740741
250264,314633.92,225711.2
246058.983050847,310007.457627119,230831.694915254
239105.963768116,306818.079710145,237228.405797101
237549.563332126,306073.771041476,242504.565217391
235385.711359783,300852.396469854,246478.612716763
236217.056603774,301446.764150943,253330.943396226
230734.621826923,297171.395769231,258338.076923077
230228.277777778,292210.416666667,262015.555555556
224531.020618557,292869.257731959,264720.412371134
255959.926605505,319926.165137615,223980.733944954
301532.703030303,333444.460606061,176176.484848485
306230.4,335825.6,173237.555555556
315917.197080292,335563.562043796,170535.474452555
322607.818181818,335970.363636364,166914.318181818
329772.614107884,335681.593360996,163909.709543568
335682.944,335483.241142857,162563.428571429
260539.428571429,323517.841269841,217716.349206349
262707.81875,326096.78625,211967.5
268293.784657534,328620.893424658,206984.109589041
272356.87732342,329275.479553903,200079.851301115
277171.902439024,330351.219512195,194164.227642276
282264.888888889,331648.444444444,189959.166666667
289201.482428115,332436.549520767,185635.271565495
293258.298850575,331974.804597701,180777.701149425
253672.152866242,319086.47133758,229981.910828025
244395.865168539,315177.707865169,236693.483146067
240872.873382885,312354.302104725,241711.914893617
242193.874571289,310429.681528662,248772.307692308
241154.222222222,307361.863247863,253581.196581197
238353.83,306433.58,258289.8
237786.938461538,304907.369230769,261875.692307692
249545.654545455,280640.690909091,187477.333333333
312590.806923077,298637.048461538,148421.538461538
319642.52725,298491.8635,145661
327969.512857143,297443.474285714,143032.142857143
253421.303120567,281090.476028369,181696.737588652
257591.017356322,282671.247816092,178066.666666667
263298.222222222,286922.654320988,172199.012345679
271414.153846154,288238.545454545,168720.27972028
278210.858305085,291354.157966102,163840
287266.561578947,290902.876315789,158852.631578947
296865.426168224,294572.099813084,155628.224299065
305110.634893617,296881.268085106,153006.808510638
245612.421812866,274635.980292398,191937.076023392
240316.59916053,272010.910927835,195774.786450663
220641.437738364,234384.781377756,241852.16
224990.225457487,236969.422235702,248295.661375661
224729.727272727,233686.909090909,253452.561983471
225062.445652174,234777.076086957,258511.304347826
220736.219512195,231813.170731707,259968.780487805
236113.563909774,266444.872180451,201448.721804511
235101.042105263,264508.957894737,205979.368421053
234045.834586466,260359.69924812,212304.360902256
231488,256108.053333333,216676.4
229858.577142857,251526.52,220737.371428571
229150.865822785,246982.481012658,226663.493670886
226800.067510549,241636.050632911,231531.476793249
222268.601449275,239814.123188406,236953.333333333
249568.028021978,273577.841318681,184584.175824176
313380.752307692,294438.993846154,144793.846153846
320413.065681818,293386.203636364,142215.454545455
329848.182608696,293424.96,140156.52173913
252772.63022508,273234.520900322,179810.160771704
261730.292352941,279324.694509804,174723.921568627
268402.472727273,283032.872727273,169878.545454545
274346.813414634,284314.391707317,165542.43902439
282236.320930233,287991.406511628,161604.651162791
289846.957446809,288417.301276596,156114.893617021
297054.094117647,290823.209411765,151312.941176471
305101.780487805,291589.589268293,149520
244863.934708819,270047.061597338,188140.898502496
240469.452918919,265229.629243243,193142.054054054
222410.088669951,230145.733990148,237606.305418719
223425.43544712,228097.660536668,242434.951456311
225163.531984373,229364.663795337,248472.251308901
227087.82,226413.51,254154.8
224859.712643678,228081.816091954,259090.114942529
237742.594309064,263030.917072808,197574.26448737
235337.896907216,258841.841924399,203172.508591065
234405.113793103,254915.262068966,207586.206896552
233246.545454545,250822.545454545,213633.896103896
232118.274509804,246228.078431373,217604.705882353
229677.702702703,242809.783783784,223012.252252252
230118.144927536,237396.52173913,227248.405797101
226888.00406015,233249.790225564,232984.661654135
288837.28440367,224658.935779817,161448.440366972
293715.254237288,226682.033898305,157060
298664.296460177,230443.725663717,154489.734513274
302828.03960396,236496.475247525,151151.683168317
308666.414222222,237551.907111111,147560
317564.089210526,241573.987894737,145023.157894737
283704.733333333,221169.407843137,163992.941176471
