v630 Neuron ID,Neuron ID 05Oct2023,VPN or LVIN,FlyWire Super Class,Source of Visual Input,Cell Body Position,NT prediction,NT prediction score,NBLAST cluster,Type,Pathway to MB Left,Pathway to MB Right,Synapses to KCg-d_Left,# of KCg-d Partners_Left,Synapses to KCg-d_Right,# of KCg-d Partners_Right,Mirror Twin 
720575940640715392,720575940640715392,VPN,visual_projection,aMe,Left,acetylcholine,0.89,8,aMe12,Both,Both,367,24,204,16,720575940613103283
720575940628071311,720575940640836952,VPN,visual_projection,aMe,Right,acetylcholine,0.88,8,aMe12,Both,Both,259,23,470,32,720575940640715392
720575940622446106,720575940622446106,VPN,visual_projection,aMe,Left,acetylcholine,0.93,8,aMe12,Both,Both,230,17,41,5,720575940647731252
720575940641698523,720575940609627403,VPN,visual_projection,aMe,Left,acetylcholine,0.93,8,aMe12,Direct,Both,184,15,62,6,720575940621438123
720575940613151385,720575940625459464,VPN,visual_projection,aMe,Right,acetylcholine,0.93,8,aMe12,Both,Both,40,4,155,14,720575940609627403
720575940625261804,720575940647731252,VPN,visual_projection,aMe,Right,acetylcholine,0.94,8,aMe12,Both,Both,16,2,126,10,720575940622446106
720575940629299543,720575940632489743,VPN,visual_projection,aMe,Right,acetylcholine,0.93,8,aMe12,Both,Both,14,2,113,9,720575940609627403
720575940615149836,720575940615149836,VPN,visual_projection,aMe,Left,acetylcholine,0.95,81,aMe20,Both,None,472,23,0,0,720575940622227213
720575940632680223,720575940616412738,VPN,visual_projection,aMe,Left,acetylcholine,0.94,25,aMe26_L,Both,Indirect,30,3,0,0,0
720575940653067254,720575940631298860,VPN,visual_projection,aMe,Left,acetylcholine,0.93,25,aMe26_L,Both,Indirect,20,1,0,0,0
720575940625679911,720575940613941475,VPN,visual_projection,aMe,Left,acetylcholine,0.93,25,aMe26_L,Both,Indirect,16,2,0,0,0
720575940621526143,720575940633292113,VPN,visual_projection,aMe,Right,acetylcholine,0.94,29,aMe26_R,Both,Both,12,1,6,1,0
720575940614483887,720575940632823144,VPN,visual_projection,aMe,Right,acetylcholine,0.92,29,aMe26_R,Both,Both,8,1,9,1,0
720575940631783372,720575940631783372,LVIN,central,NA - LVIN,Left,acetylcholine,0.9,,AVLP041,Direct,None,25,2,0,0,720575940609526318
720575940632219361,720575940632219361,LVIN,central,NA - LVIN,Left,acetylcholine,0.87,,AVLP043,Direct,None,72,4,0,0,720575940609329102
720575940618422941,720575940618422941,LVIN,central,NA - LVIN,Left,acetylcholine,0.86,,AVLP043,Direct,None,29,2,0,0,720575940619676507
720575940613126117,720575940632707944,VPN,visual_projection,Me,Left,acetylcholine,0.91,9,CB0081,Both,None,145,6,0,0,720575940626497286
720575940625315260,720575940635535511,VPN,visual_projection,Me,Left,acetylcholine,0.96,18,CB0111,Both,None,605,32,0,0,720575940605862345
720575940623406605,720575940631706105,VPN,visual_projection,Me,Left,acetylcholine,0.92,143,CB0156,Direct,Indirect,854,33,0,0,720575940614139559
720575940631147382,720575940623139610,VPN,visual_projection,Me,Left,acetylcholine,0.84,60,CB0165,Both,None,11,1,0,0,720575940625055758
720575940627710992,720575940635960255,VPN,visual_projection,Me,Left,acetylcholine,0.89,103,CB0167,Both,None,13,2,0,0,720575940629002246
720575940628838474,720575940632404555,VPN,visual_projection,Me,Left,acetylcholine,0.87,188,CB0171,Both,None,89,4,0,0,720575940618034662
720575940635489387,720575940635489387,VPN,visual_projection,Lo,Left,acetylcholine,0.94,191,CB0274,Both,None,266,11,0,0,720575940620654975
720575940642484109,720575940642602203,VPN,visual_projection,Me,Left,acetylcholine,0.93,1,CB0304,Both,None,206,13,0,0,720575940622596393
720575940630737516,720575940630737516,VPN,visual_projection,Me,Left,acetylcholine,0.92,184,CB0389,Both,None,313,26,0,0,720575940643873440
720575940624951847,720575940624951847,LVIN,central,NA - LVIN,Left,gaba,0.85,,CL063,Direct,None,106,17,0,0,720575940614374034
720575940619522974,720575940619522974,LVIN,central,NA - LVIN,Left,acetylcholine,0.92,,CL200,Direct,None,23,2,0,0,720575940615713478
720575940622350550,720575940622350550,LVIN,central,NA - LVIN,Left,acetylcholine,0.88,,CL258,Direct,None,184,10,0,0,720575940618810533
720575940603976672,720575940603976672,LVIN,central,NA - LVIN,Left,acetylcholine,0.88,,CL258,Direct,None,114,7,0,0,720575940631611679
720575940632652319,720575940632652319,LVIN,central,NA - LVIN,Left,acetylcholine,0.55,,CL352,Direct,None,7,1,0,0,720575940623805448
720575940605029664,720575940645913367,VPN,visual_projection,Lo,Left,acetylcholine,0.91,35,hb697882667,Both,None,517,24,0,0,720575940641285005
720575940615438495,720575940615438495,LVIN,central,NA - LVIN,Left,acetylcholine,0.96,,LHPV3c1,Direct,None,102,4,0,0,720575940630914245
720575940635718255,720575940635718255,LVIN,central,NA - LVIN,Left,acetylcholine,0.97,,LHPV8c1,Direct,None,49,4,0,0,720575940618582592
720575940607578460,720575940617101580,VPN,visual_projection,Lo,Left,acetylcholine,0.91,175,LO.515,Direct,None,10,1,0,0,720575940629259831
720575940620455408,720575940620455408,VPN,visual_projection,Lo,Left,acetylcholine,0.95,47,LO.PLP.109,Both,None,47,6,0,0,720575940618856768
720575940626849866,720575940626849866,VPN,visual_projection,Lo,Left,acetylcholine,0.89,38,LO.PLP.479,Direct,None,5,1,0,0,720575940631356580
720575940624587447,720575940624587447,VPN,visual_projection,Lo,Left,acetylcholine,0.93,144,LO.PLP.77,Both,None,10,1,0,0,0
720575940630585704,720575940630585704,VPN,visual_projection,Lo,Left,acetylcholine,0.89,178,LO.SCL.7,Direct,None,111,8,0,0,720575940615691348
720575940622891242,720575940622891242,VPN,visual_projection,Lo,Left,acetylcholine,0.89,178,LO.SLP.12,Direct,None,101,8,0,0,720575940622984701
720575940613323378,720575940633183628,VPN,visual_projection,Lo,Left,acetylcholine,0.9,99,LT57,Both,None,5,1,0,0,0
720575940635169888,720575940635169888,VPN,visual_projection,Lo,Left,acetylcholine,0.92,192,LT67,Both,None,9,1,0,0,720575940632393320
720575940617883003,720575940617883003,VPN,visual_projection,Lo,Left,acetylcholine,0.86,193,LT75,Both,None,60,3,0,0,720575940616620571
720575940633617377,720575940606769854,LVIN,central,NA - LVIN,Left,gaba,0.83,,MB-C1,Direct,None,15,2,0,0,0
720575940611425203,720575940632423439,VPN,visual_projection,Me,Left,acetylcholine,0.84,4,MC62,Direct,None,13,1,0,0,0
720575940631760426,720575940628804424,VPN,visual_projection,Me,Left,acetylcholine,0.76,197,MC62,Direct,None,5,1,0,0,0
720575940619017387,720575940619017387,VPN,visual_projection,Me,Left,acetylcholine,0.91,15,ME.1557,Direct,None,11,2,0,0,720575940614589599
720575940611955057,720575940637511525,VPN,visual_projection,Me,Left,acetylcholine,0.91,179,ME.745,Both,None,53,5,0,0,720575940630396282
720575940621025262,720575940631057468,VPN,visual_projection,Me,Left,acetylcholine,0.94,10,ME.897,Both,Indirect,17,1,0,0,720575940617584273
720575940640438643,720575940640438643,VPN,visual_projection,Me,Left,acetylcholine,0.91,15,ME.PLP.36,Both,None,28,3,0,0,720575940621207211
720575940628884183,720575940628884183,VPN,visual_projection,Me,Left,acetylcholine,0.93,182,ME.PLP.37,Both,None,82,4,0,0,720575940645794595
720575940639522357,720575940628913404,VPN,visual_projection,Me,Left,acetylcholine,0.9,15,ME.PLP.42,Direct,None,20,3,0,0,720575940622337674
720575940624158195,720575940630575042,VPN,visual_projection,Me,Left,acetylcholine,0.9,186,ME.SLP.2,Direct,None,17,2,0,0,720575940634837660
720575940625733453,720575940625733453,VPN,visual_projection,Me,Left,acetylcholine,0.92,1,PLP.203,Direct,None,5,1,0,0,0
720575940622440461,720575940622440461,LVIN,central,NA - LVIN,Left,Unknown,NA,,PLP.349,Direct,None,5,1,0,0,0
720575940627256586,720575940620343345,LVIN,central,NA - LVIN,Left,acetylcholine,0.9,,PLP.78,Direct,None,438,24,0,0,720575940615746316
720575940618007508,720575940638192496,VPN,visual_projection,Lo,Left,acetylcholine,0.95,90,PLP091,Both,Indirect,95,9,0,0,720575940621673852
720575940631718930,720575940631718930,LVIN,central,NA - LVIN,Left,acetylcholine,0.89,,"PLP120, PLP145",Direct,None,75,6,0,0,720575940630610488
