Flywire ID,vPN or LVIN,FlyWire Super Class,Source of Visual Input,Cell Body Position,NT prediction,NT prediction score,NBLAST cluster,Type,Type Code,Pathway type to MB Left,Pathway type to MB Right,Synapses to KCg-d_Left,# of KCg-d Partners_Left,Synapses to KCg-d_Right,# of KCg-d Partners_Right,Synapse sum to LVINs,Synapse sum to LVINs left,Mirror Twin,Mirror Twin Ints,Notes,
720575940634619060,vPN,visual_projection,Me,Right,acetylcholine,0.91,1,PLP.108,Me-1,Indirect,None,0,0,0,0,,15,0,0,new indirect vpn added 8/2/23,
720575940625733453,vPN,visual_projection,Me,Left,acetylcholine,0.92,1,PLP.203,Me-1,Direct,None,5,1,0,0,0,,maybe 720575940634619060,720575940634619060,,
720575940642484109,vPN,visual_projection,Me,Left,acetylcholine,0.93,2,CB0304,CB0304,Both,None,206,13,0,0,33,22,720575940620744907,720575940620744907,Putative VPN-MB2 from Vogt 2016. ventral,
720575940620744907,vPN,visual_projection,Me,Right,acetylcholine,0.94,2,CB0304,CB0304,None,Direct,0,0,165,14,,0,720575940642484109,720575940642484109,Putative VPN-MB2 from Vogt 2016,
720575940636303864,vPN,visual_projection,Me,Left,acetylcholine,0.53,3,ME.LO.13704,Me-1,Indirect,None,0,0,0,0,5,0,0,0,,
720575940632423439,vPN,visual_projection,Me,Left,acetylcholine,0.84,4,MC62,MC62,Direct,None,13,1,0,0,0,,720575940627767568,720575940627767568,,
720575940625816153,vPN,visual_projection,Me,Left,acetylcholine,0.81,5,ME.LO.2194,Me-5,Indirect,None,0,0,0,0,7,389,0,0,,
720575940640715392,vPN,visual_projection,aMe,Left,acetylcholine,0.89,8,aMe12,aMe12,Both,Both,367,24,204,16,0,0,720575940613103283,720575940613103283,,
720575940613103283,vPN,visual_projection,aMe,Right,acetylcholine,0.88,8,aMe12,aMe12,Both,Both,259,23,470,32,0,11,720575940640715392,720575940640715392,,
720575940622446106,vPN,visual_projection,aMe,Left,acetylcholine,0.93,8,aMe12,aMe12,Both,Both,230,17,41,5,,0,0,720575940647731252,update synapses to lvins,
720575940609627403,vPN,visual_projection,aMe,Left,acetylcholine,0.93,8,aMe12,aMe12,Direct,Both,184,15,62,6,0,,,720575940621438123,,
720575940621438123,vPN,visual_projection,aMe,Right,acetylcholine,0.93,8,aMe12,aMe12,Both,Both,40,4,155,14,0,57,0,720575940609627403,,
720575940647731252,vPN,visual_projection,aMe,Right,acetylcholine,0.94,8,aMe12,aMe12,Both,Both,16,2,126,10,0,0,0,720575940622446106,,
720575940621894822,vPN,visual_projection,aMe,Right,acetylcholine,0.93,8,aMe12,aMe12,Both,Both,14,2,113,9,0,7,0,720575940609627403,,
