"","skid","name","tract","glomerulus","lineage","new_type_name","type","hemisphere"
"1",698508565,NA,"lALT","V","ilPN","V ilPN","fib","FIB"
"2",2064165421,"lPNX_V","lALT","V","ilPN","V ilPN","fib","FIB"
"3",5813039235,"mPN1_DM6","mALT","DM6","adPN","DM6 adPN","fib","FIB"
"4",1849684319,"mPNX","mALT","VC5","lvPN","VC5 lvPN","fib","FIB"
"5",632751823,"mPNX","mALT","VC5","lvPN","VC5 lvPN","fib","FIB"
"6",5813055184,"mPN1_D","mALT","D","adPN","D adPN","fib","FIB"
"7",1536947502,"mPN1_D","mALT","D","adPN","D adPN","fib","FIB"
"8",5813038889,"mPN1_D","mALT","D","adPN","D adPN","fib","FIB"
"9",1734350908,"mPN1_DA1","mALT","DA1","lPN","DA1 lPN","fib","FIB"
"10",1765040289,"mPN1_DA1","mALT","DA1","lPN","DA1 lPN","fib","FIB"
"11",754534424,"mPN1_DA1","mALT","DA1","lPN","DA1 lPN","fib","FIB"
"12",754538881,"mPN1_DA1","mALT","DA1","lPN","DA1 lPN","fib","FIB"
"13",1734350788,"mPN1_DA1","mALT","DA1","lPN","DA1 lPN","fib","FIB"
"14",722817260,"mPN1_DA1","mALT","DA1","lPN","DA1 lPN","fib","FIB"
"15",5813039315,"mPN1_DA1","mALT","DA1","lPN","DA1 lPN","fib","FIB"
"16",1796818119,"mPN1_DA2","mALT","DA2","lPN","DA2 lPN","fib","FIB"
"17",1827516355,"mPN1_DA2","mALT","DA2","lPN","DA2 lPN","fib","FIB"
"18",1796817841,"mPN1_DA2","mALT","DA2","lPN","DA2 lPN","fib","FIB"
"19",818983130,"mPN1_DA2","mALT","DA2","lPN","DA2 lPN","fib","FIB"
"20",1797505019,"mPN1_DA2","mALT","DA2","lPN","DA2 lPN","fib","FIB"
"21",1703683361,"mPN1_DA3","mALT","DA3","adPN","DA3 adPN","fib","FIB"
"22",666135689,"mPN1_DA3","mALT","DA3","adPN","DA3 adPN","fib","FIB"
"23",544021095,"mPN1_DA4l","mALT","DA4l","adPN","DA4l adPN","fib","FIB"
"24",574037266,"mPN1_DA4m","mALT","DA4m","adPN","DA4m adPN","fib","FIB"
"25",1640594274,"mPN1_DC1","mALT","DC1","adPN","DC1 adPN","fib","FIB"
"26",1828206773,"mPN1_DC2","mALT","DC2","adPN","DC2 adPN","fib","FIB"
"27",5813055048,"mPN1_DC2","mALT","DC2","adPN","DC2 adPN","fib","FIB"
"28",5813039471,"mPN1_DC3","mALT","DC3","adPN","DC3 adPN","fib","FIB"
"29",1858171399,"mPN1_DC3","mALT","DC3","adPN","DC3 adPN","fib","FIB"
"30",1857825571,"mPN1_DC3","mALT","DC3","adPN","DC3 adPN","fib","FIB"
"31",5813056596,"mPN1_DC4","mALT","DC4","adPN","DC4 adPN","fib","FIB"
"32",1700937093,"mPN1_DL1","mALT","DL1","adPN","DL1 adPN","fib","FIB"
"33",1700946301,"mPN1_DL1","mALT","DL1","adPN","DL1 adPN","fib","FIB"
"34",788648194,"mPN1_DL2d","mALT","DL2d","adPN","DL2d adPN","fib","FIB"
"35",1793014716,"mPN1_DL2d","mALT","DL2d","adPN","DL2d adPN","fib","FIB"
"36",5813024710,"mPN1_DL2d","mALT","DL2d","adPN","DL2d adPN","fib","FIB"
"37",1756579280,"mPN1_DL2d","mALT","DL2d","adPN","DL2d adPN","fib","FIB"
"38",1793351401,"mPN1_DL2d","mALT","DL2d","adPN","DL2d adPN","fib","FIB"
"39",5813039465,"mPN1_DL2v","mALT","DL2v","adPN","DL2v adPN","fib","FIB"
