,Presynaptic neuron type,Presynaptic neuron,Postsynaptic neuron,Predicted synapse type,Variance in distances from centroid
0,VPN,720575940640715392,720575940606929419,en_passant,4887.827625841186
1,VPN,720575940640715392,720575940613955039,claw,542.8764175606636
2,VPN,720575940640715392,720575940616295069,claw,348.8146239091365
3,VPN,720575940640715392,720575940619906987,en_passant,4345.894942560861
4,VPN,720575940640715392,720575940605829297,en_passant,8715.471548658936
5,VPN,720575940640715392,720575940616702274,en_passant,4916.303823133971
6,VPN,720575940640715392,720575940611336726,claw,313.3819460669058
7,VPN,720575940640715392,720575940616442369,claw,429.40832981268824
8,VPN,720575940640715392,720575940619511206,claw,457.86458031298827
9,VPN,720575940640715392,720575940620002036,claw,566.4304904683797
10,VPN,720575940640715392,720575940620197658,claw,487.43099536066563
11,VPN,720575940640715392,720575940621936362,en_passant,3599.2558185747503
12,VPN,720575940640715392,720575940622001020,claw,1343.9457764607494
13,VPN,720575940640715392,720575940623231428,claw,95.01487459763307
14,VPN,720575940640715392,720575940625003907,claw,856.8863766993895
15,VPN,720575940640715392,720575940625488659,claw,137.94228718169336
16,VPN,720575940640715392,720575940626316974,claw,356.76296651140274
17,VPN,720575940640715392,720575940614812653,claw,522.0681009115774
18,VPN,720575940640715392,720575940626460420,claw,608.8525465100722
19,VPN,720575940640715392,720575940627251216,en_passant,8522.84914511793
20,VPN,720575940640715392,720575940628080902,en_passant,5590.3928365537495
21,VPN,720575940640715392,720575940631490371,en_passant,1533.145777429142
22,VPN,720575940640715392,720575940631492419,en_passant,4665.3288416533105
23,VPN,720575940640715392,720575940633023935,claw,694.2011800158213
24,VPN,720575940640715392,720575940633572250,en_passant,1473.5254756117179
25,VPN,720575940640715392,720575940645209966,en_passant,4623.818669341745
26,VPN,720575940640836952,720575940604497888,claw,309.96570009331106
27,VPN,720575940640836952,720575940608413193,claw,222.00624977772355
28,VPN,720575940640836952,720575940613863903,claw,298.8665477811311
29,VPN,720575940640836952,720575940614281214,claw,181.65311225147616
30,VPN,720575940640836952,720575940615332674,claw,175.06880868221876
31,VPN,720575940640836952,720575940605829297,en_passant,2872.0969130791227
32,VPN,720575940640836952,720575940611336726,claw,165.4182120672958
33,VPN,720575940640836952,720575940616442369,claw,1049.9317397506868
34,VPN,720575940640836952,720575940620227617,en_passant,2526.6544071570247
35,VPN,720575940640836952,720575940620236270,claw,75.48764937068273
