,lvin,lobula_input,medulla_input,ame_input,lvin_names
0,720575940631783372,48.0,122.0,0.0,AVLP041
1,720575940632219361,413.0,20.0,0.0,AVLP043
2,720575940618422941,306.0,26.0,0.0,AVLP043
3,720575940624951847,783.0,765.0,495.0,CL063
4,720575940619522974,583.0,58.0,0.0,CL200
5,720575940622350550,29.0,0.0,5.0,CL258
6,720575940603976672,69.0,0.0,0.0,CL258
7,720575940624690116,27.0,27.0,0.0,CL352
8,720575940615438495,208.0,158.0,7.0,LHPV3c1
9,720575940635718255,0.0,0.0,0.0,LHPV8c1
10,720575940606769854,0.0,0.0,11.0,MB-C1
11,720575940622440461,26.0,226.0,31.0,PLP.349
12,720575940620343345,433.0,122.0,9.0,PLP.78
13,720575940630124050,17.0,229.0,5.0,"PLP120, PLP145"
14,720575940631718930,34.0,189.0,0.0,"PLP120, PLP145"
15,720575940626248250,750.0,319.0,20.0,PLP131
16,720575940618445497,44.0,0.0,5.0,PLP177
17,720575940620745069,94.0,59.0,0.0,"PLP185, PLP186"
18,720575940611914850,68.0,47.0,123.0,PLP231
19,720575940637736006,289.0,513.0,68.0,PLP251
20,720575940632070370,56.0,0.0,0.0,PVLP.SCL.2
21,720575940619421319,23.0,0.0,0.0,PVLP.SLP.13
22,720575940638124376,34.0,35.0,0.0,SCL.56
23,720575940610389602,0.0,5.0,0.0,"SLP223, SLP224"
24,720575940616070283,28.0,18.0,0.0,"SMP459, SMP460"
