,Data,Shuffle mean,Shuffle min,Shuffle max
0,0.4184678717750962,0.41845975140883296,0.39951862359620927,0.43877987025760934
1,0.26041666666666663,0.10369857426139056,0.09430995654435939,0.11549976231313658
2,0.24783555047415712,0.09043141211606442,0.08390734505372661,0.09728445263930657
3,0.016053338414731673,0.08129342268226562,0.074494578042334,0.08863709141447938
4,0.015838725044475113,0.07249560565678266,0.06634380137169796,0.07830383743712904
5,0.010416666666666661,0.06447725060418885,0.0593851329587824,0.0698517786173639
6,0.009090395794270463,0.057102102801033144,0.05098219429587068,0.0632754972392544
7,0.0034722222222222238,0.048853715174155925,0.04303576413572151,0.05501268951149027
8,0.0034722222222222207,0.01585548307436422,0.014103863246562928,0.0174419003440543
9,0.0034722222222222207,0.007777304769292895,0.006585022410615606,0.009895824307814745
10,0.0034722222222222207,0.006638491103611803,0.00611356894799026,0.007841957312531601
11,0.0034722222222222203,0.005894737806383744,0.0034722222222222285,0.0065549083934854195
12,0.0016710171137928117,0.003938161858486229,0.003457776968388309,0.006084144353278558
13,0.001522386066636004,0.003507191059166549,0.003411182366385512,0.0034722222222222255
14,0.0013262708723961961,0.0034154523611491807,0.0033244975019578204,0.003472222222222222
15,1.4420315079560317e-30,0.0033325296984409334,0.003198191142021007,0.003442167106806207
16,5.690624671058645e-31,0.003226301025332927,0.0030444396147013444,0.003364074756403582
17,2.828468270531374e-31,0.003072225423815632,0.002845317570850997,0.0032679814196607346
18,2.5316328751493306e-31,0.0028348188044302527,0.002324300082196881,0.0031451373484694916
19,1.7252630052983375e-31,0.0023176812701366815,0.000799347150262005,0.0029484551355604175
20,1.353247170661389e-31,0.001377787040674811,8.635465299937891e-32,0.002734562667743057
21,9.331290089743285e-32,1.4027254485342434e-31,3.0647008428931854e-32,3.3659530917048334e-31
22,7.761304979015836e-32,3.8262420753375294e-32,2.3088123171214342e-32,6.713518875914161e-32
23,6.518395301219171e-32,2.7668704549425843e-32,1.806817381958481e-32,4.130789408367735e-32
24,5.450291630367323e-32,2.2146777309844047e-32,1.5797885787191176e-32,3.2212407844346944e-32
25,4.616156790649908e-32,1.8145849726027577e-32,1.3279441762875186e-32,2.41224830050634e-32
26,3.770666979235515e-32,1.5156355085730194e-32,1.1351710589470376e-32,2.0457733260311464e-32
27,2.4147653774462042e-32,1.2856247846273085e-32,1.0198197044920018e-32,1.6871652451432357e-32
28,1.714480171534925e-32,1.123164391694149e-32,9.166586433792091e-33,1.3620796485387906e-32
29,1.60794299971402e-32,9.991426818450027e-33,8.076359478204602e-33,1.233884724898739e-32
