,Me-179,a-AVLP043,a-CL200,a-AVLP043,Lo-38,a-PLP.78,"a-PLP120, PLP145",Lo-178,Lo-LT67,a-PLP251,AMe26,Lo-LT75,Me-CB0156,AMe20,AMe12,ga-PLP131,gl-SCL.56,Lo-VES044,Me-CB0165,Me-CB0304,Me-CB0389,Me-CB0111,Me-CB0081,Me-188,Me-MC62-b,a-AVLP041,Me-CB0167,Me-15,a-LHPV3c1,Me-182,"a-PLP120, PLP145",a-PLP177,a-PLP231,a-PVLP.SCL.2,a-PVLP.SLP.13,"a-SLP223, SLP224","a-SMP459, SMP460",ga-CL063,ga-MB-C1,"gl-PLP185, PLP186",a-CL258,a-LHPV8c1,u-PLP.349,Me-15,Lo-35,AMe26,AMe26,Lo-LT57,Lo-PLP091,AMe26,Lo-PLP126,AMe26,Lo-SLP357,AMe12,Lo-VES044,MC62,MC62-d,Me-1,Me-10,AMe12,Lo-CB0274,Lo-47,AMe12,Lo-LT43,Lo-LT43,Lo-175,a-CL258,Lo-PLP125,Lo-SLP449,Me-15,Lo-178,Lo-144,Lo-SLP357,AMe26,AMe12,AMe12,Me-75,Me-186,AMe12
Me-179,-0.07209718777386229,-0.2916666666666656,3.1048799324039895,-0.40457738993934084,-0.198748684274991,3.888999614897959,1.7325705073454305,1.2402706741483152,-0.23199469845727216,-0.6487878010507436,5.2508502712825464,-0.35553360971375586,1.4412244972991712,-0.9414417970707484,1.9696016944114243,-0.16489491297879297,-0.19874868427499118,-0.18473268089846354,-0.2045586804693819,-0.7056989815919448,-1.0890657935970949,-0.23264697923151084,-0.48344418066180145,-0.4045773899393408,-0.19900743804199647,-0.3395305251957552,-0.31690469857099257,-0.31474137580870143,-0.3870813191545457,1.8663185951801937,-0.5340126207391287,-0.46124504734737726,-0.6776987389769951,-0.27591653889039364,-0.20069785042142638,-0.19073431957798667,-0.3373044161307743,-0.13850571016383026,-0.34574879843731376,-0.22227080044538663,-0.6418123312012011,-0.3796427235255572,-0.26291524102480995,-0.2826899483735598,-1.001080072974261,-0.39785195716120714,-0.28514281791402896,-0.20700127632521687,-0.6463364410486702,-0.18214401877933198,-0.2787491027883895,-0.20170141995959737,-0.6141130622956701,-0.2705619998306718,-0.18133987104715812,-0.23673712220542406,-0.21453462331873147,-0.1990074380419974,-0.18790823039834723,0.47172664539275355,-0.6670222097252273,-0.49749873368678527,-0.7761879332551271,-0.18473268089846342,-0.18869310866933175,-0.17281816283231644,-0.6888279772963561,-0.2992250252045813,-0.303167228441766,-0.3313690655923432,-0.6020496815183637,-0.23182057667122222,-0.2172784700199868,3.463164765543871,0.08425254637422697,-0.34454860232732865,-0.2227966603810412,-0.3052315266328446,-0.0031294327673248024
a-AVLP043,-0.2916666666666656,-0.11402276971248981,-0.16658099888065958,3.994998296585934,-0.11476596157913538,-0.5756707012115092,-0.27478362283816354,-0.35209112510450497,8.713384929123587,-0.346988959179747,-0.1191586461884334,-0.17886236067447864,0.9585959923646935,-0.5690096822721945,-0.22207643579819678,-0.13225413988726922,-0.11915864618843282,-0.12340351046845821,-0.11915864618843326,-0.4190790380624777,1.0379418118364623,-0.6480363685046944,-0.2996318770299909,-0.22524545469420978,-0.10674760375242354,-0.21707238158772374,-0.14285714285714263,-0.20145154833543266,-0.25722940774499564,-0.24140625836710813,-0.2909210920419887,-0.2710713640297912,-0.38077663710652915,-0.1818181818181808,-0.12427976460351381,-0.08980265101338714,-0.18703583961131723,-0.6094442846399625,-0.19149192642804574,-0.11915864618843316,-0.3692853328467536,-0.22717430935012814,-0.14702865267285703,-0.15681251204679628,-0.611376127737262,-0.24813529629094208,-0.1601281538050886,-0.14285714285714354,-0.3892516855427911,-0.10050378152592182,-0.16012815380508463,-0.12340351046845814,-0.3606583826973697,-0.1754942736973642,-0.1398168046500081,-0.09529814069847008,-0.11915864618843258,-0.11020775375559634,-0.10194414990458749,-0.47315747615412573,-0.3684833273385563,-0.279435306572134,1.610669462955172,-0.12340351046845821,-0.13150664608837034,-0.11915864618843298,-0.3770466677050195,-0.14346334579607603,-0.18760780199820967,-0.21474704482545756,-0.34664080809683817,-0.10050378152592172,-0.08396038004872008,-0.18473268089846334,-0.5476750233860462,-0.19352523826151263,-0.12340351046845802,-0.23246931631537318,-0.6064354084762882
a-CL200,3.1048799324039895,-0.16658099888065958,-0.06759919736757328,-0.22717430935012847,-0.13150664608836957,0.9086737992230658,-0.285709555514998,3.0341247008309975,-0.1464597543788296,-0.35480275359153846,8.392173224413991,-0.170114393137122,0.8158491560370693,-0.5606169482390743,-0.2659498441962286,-0.1102077537555967,-0.15681251204679555,-0.110207753755596,-0.11020775375559622,-0.44411270524263236,-0.5971792013662164,-0.6382538564983251,-0.3027678067391191,-0.23657178420367503,-0.1054625327016293,-0.21474704482545776,-0.1601281538050883,-0.23673712220542403,-0.23409933797291696,-0.248281766580712,-0.3001668056842828,-0.25816911417308375,-0.37863498356797726,-0.16698964031185845,-0.13150664608837032,-0.08396038004871963,-0.193246987920249,-0.632524629817681,-0.19628247940834737,-0.12751534261266687,-0.3680053699735383,-0.22717430935012825,-0.14492584511891315,-0.1987486842749911,1.1681454240810596,-0.22941573387056263,-0.18181818181818027,-0.10674760375242368,-0.3744770285222049,-0.10050378152592174,-0.13538810472195573,-0.08396038004872067,-0.3715862529635198,-0.1633831238975996,-0.0708881205008339,-0.12340351046845799,-0.10546253270162934,-0.12751534261266695,-0.12340351046845834,-0.46744821489515187,2.0746557812200623,-0.27478362283816354,-0.4327498578267906,-0.10546253270162931,-0.14285714285714193,-0.11020775375559634,-0.4134993640889819,-0.1762182934546897,-0.16658099888065958,-0.21707238158772532,-0.3430782579589844,-0.10194414990458694,-0.1054625327016293,-0.12751534261266706,-0.5170577996692598,-0.1847326808984633,-0.11386818846191388,-0.2121909844847532,-0.5710704222310882
a-AVLP043,-0.40457738993934084,3.994998296585934,-0.22717430935012847,-0.0616010283800018,-0.15681251204679544,0.35004918696990545,-0.372721936825588,-0.4760191075238042,6.377042156569662,-0.5030000003182612,-0.1499829574503791,-0.25929878350055424,1.1829296446631088,0.4801357660785556,-0.3317561495001508,-0.18473268089846342,-0.142857142857143,6.377597826752833,-0.1633831238976003,-0.5989253431086871,-0.8366713148535498,-0.8899281965669739,-0.3989139088491306,-0.3306750948215949,-0.15393726795177118,-0.2646767474204684,-0.21783372251022534,-0.3169046985709928,-0.33872372668989237,-0.350684700853654,-0.42633538180114916,-0.3842893153110293,-0.5276448530110895,-0.23437535321350947,-0.1731897628808586,-0.1697250257391062,-0.2779915691571272,-0.889765005553995,-0.28487837127244947,-0.17886236067447875,-0.4873937159025327,-0.3150118772463266,-0.24140625836710847,-0.26378974963035473,-0.7859890882479829,-0.34640341400872937,-0.2550147534061236,-0.16058063792223568,-0.5011528105415769,-0.17586311452816275,-0.2348385141823813,-0.15847815456433156,-0.4956483071366428,-0.22699055229393392,-0.17281816283231635,-0.16381273202031915,-0.1572900352054701,-0.16489491297879194,-0.15681251204679567,-0.6636725714650752,1.2856269075732136,-0.4136610112252329,-0.6085242988767676,-0.15393726795177085,-0.1391689327581979,-0.1464597543788294,-0.5348365727761164,-0.2318205766712224,-0.23718930431613905,-0.315011877246326,1.5745150790370799,-0.11641116674629326,-0.14645975437882872,-0.23673712220542412,0.466581657081072,-0.31120537124339953,-0.18473268089846334,-0.28679449480609537,0.44254189105634695
Lo-38,-0.198748684274991,-0.11476596157913538,-0.13150664608836957,-0.15681251204679544,-0.0783810527831095,-0.4180565808195,4.606981894028664,-0.2119718835478847,-0.08980265101338718,-0.2527855322222451,-0.07769309688655159,-0.12832288002105444,1.7234349633394683,-0.4117801214930504,-0.1850453700008983,-0.07769309688655086,-0.08980265101338718,-0.06723348523552886,-0.07088812050083387,-0.26750560626987335,-0.44288137943047673,-0.45564410443369985,-0.2041241452319305,-0.1788623606744787,-0.095298140698469,-0.14285714285714246,-0.08396038004872011,-0.14998295745037912,-0.15681251204679536,-0.15393726795177107,-0.2572294077449957,-0.19601428307463312,-0.2785430072655779,-0.14285714285714285,-0.08980265101338718,-0.04476614810358534,-0.14285714285714218,1.8405332825903724,-0.1275153426126669,-0.09529814069847005,-0.269625480692106,-0.1697250257391061,-0.07769309688655154,-0.1234035104684582,-0.4132280120866116,-0.15681251204679578,-0.077693096886551,-0.07088812050083382,-0.27527560420488095,-0.06337242505244768,-0.13150664608836962,-0.10546253270162932,-0.23787422041022474,-0.10546253270162932,-0.08396038004872015,-0.0633724250524477,-0.06337242505244772,-0.07088812050083396,-0.09529814069846992,-0.3528460327684228,-0.2646767474204691,-0.20700127632521687,-0.3336076140786057,-0.06337242505244768,-0.11476596157913538,-0.10050378152592146,-0.2896525936910769,-0.0898026510133872,-0.10194414990458672,-0.1499829574503791,-0.22717430935012856,-0.08396038004871988,-0.10050378152592185,-0.11915864618843303,-0.39204839127780655,-0.156812512046796,-0.07769309688654998,-0.15183145103679857,-0.428093348679516
a-PLP.78,3.888999614897959,-0.5756707012115092,0.9086737992230658,0.35004918696990545,-0.4180565808195,0.14790046834704323,0.9875066076871288,-0.2941499201572084,-0.4183843054106298,-1.3185487340182185,2.1564714242692715,-0.722728069622732,1.9270701821603746,-0.4314075574424876,0.4102307773455134,1.9063349601894293,-0.4287234179474613,1.856342691512425,-0.4144253831451526,-0.17268589776432,0.11695146538882112,0.3285207540216995,-0.9961986313992228,-0.8237651494442013,-0.45619846156897526,0.7299752002297287,-0.6080368801811117,-0.734484554985386,-0.8049569352624101,0.1717432005011881,0.7300562500176841,-0.9362088735946137,-0.6514358988261502,-0.5968913014888241,-0.3803873470057318,-0.4267898099967385,-0.6995794320816475,-0.4124886473920333,-0.7337079321312171,1.905366569469412,0.2444841752124366,-0.8173686407114589,-0.5721826584169045,-0.6114540384188097,-1.112183854325582,-0.8036207804663246,-0.5535055618589634,-0.4150818158962037,2.3696510875242898,1.9890493217366592,-0.5867832299749276,1.9349096305503435,0.23175580770140713,-0.6187493723139672,-0.4288023926125065,-0.4381121687488238,-0.42313237809604404,-0.4134652329594021,-0.40852059156110787,1.2468220911804746,-1.435059449458582,0.9618227988926508,0.7760529569774842,1.9275436223768265,1.7976934435203127,2.143822420841224,0.7887036317643207,0.999116426856474,-0.5966801354021679,-0.7315937919405467,-0.45438123539115444,-0.3970537670706996,-0.42192157283536774,1.067238214337261,-0.021477164703840083,0.6214971338942589,2.2347382183834554,-0.7171924871688905,-0.14571613375642012
"a-PLP120, PLP145",1.7325705073454305,-0.27478362283816354,-0.285709555514998,-0.372721936825588,4.606981894028664,0.9875066076871288,-0.0951573096647841,-0.5367306047211532,-0.201701419959597,-0.6194155380718568,-0.2170723815877248,-0.3580737998430959,-0.2630498023282362,-0.9690177247846523,-0.40371743605382887,-0.21783372251022534,-0.20938322787871402,-0.19352523826151255,-0.1850453700008989,-0.727172834747,-0.08311588249229954,-0.24777750546849842,-0.5041960924882292,-0.40660583464226596,-0.20236470527982706,-0.3305150682747052,-0.26843339998962956,2.442547963153927,-0.38651398990728053,-0.46350807393641436,-0.49777493934214867,-0.454115997250512,-0.6512171447631833,-0.2830922264993448,-0.204124145231931,-0.20334115751605455,-0.3259348680202768,0.8148973938769345,-0.3202904337019779,-0.19874868427499112,0.8608274221054059,-0.3962597501228444,-0.2594298807053417,-0.30939726243551247,-1.0161340903355833,-0.3681238673088547,-0.28514281791402957,-0.17318976288085863,-0.6501831324377032,-0.20762474849945492,-0.2710713640297919,-0.17318976288085827,0.9973474333863194,-0.2738306829197058,-0.1987486842749913,-0.17586311452816245,-0.21277862508442935,-0.2070012763252169,-0.19044534662682852,-0.8201581529315998,-0.6470545836559292,-0.5132998950406068,-0.7921318941081112,-0.19352523826151266,-0.1680247652835223,-0.18760780199820973,-0.662713141180021,-0.3062559816205573,-0.2972409559193998,-0.3416667271943642,-0.6210539530932908,-0.24413653763134957,-0.1932469879202491,-0.24768081568265887,1.1846783567601646,-0.349369400813868,-0.2070012763252169,-0.32440941287394487,0.9802611621927121
Lo-178,1.2402706741483152,-0.35209112510450497,3.0341247008309975,-0.4760191075238042,-0.2119718835478847,-0.2941499201572084,-0.5367306047211532,-0.1058874127033489,-0.2102144765190232,3.2770133870365448,4.030680753384663,-0.38599348441465,1.0471519303061436,0.7099602386753336,1.543094711209647,-0.2395222294990116,4.358898943540677,-0.21727847001998665,-0.21453462331873152,0.3968475184422746,0.4524795383843493,0.22476003023378893,-0.5870749236655263,-0.47041077989063634,-0.219786117861958,-0.40433033555370756,-0.35233429997104543,-0.4058936841263967,-0.44347779336880916,-0.5129701525319637,-0.6220920965887278,-0.530852196124962,0.509169718439257,-0.34307825795898433,-0.2371893043161395,4.227046785676986,-0.3778046561013848,1.1948493522696864,-0.38988430497212734,-0.23908057580332964,0.5899475728895713,-0.4724768982643962,-0.29885258919705254,-0.310503750426307,-0.3070641511691661,-0.4572102020694754,-0.28487837127244936,-0.23952222949901142,-0.6974940610752562,-0.23908057580332906,-0.2949041470644643,-0.26161654264511186,-0.7241500083529917,-0.33258957461446126,-0.24124895481858064,-0.1842057558921739,-0.24477837658633508,-0.2343753532135094,-0.2395222294990114,-0.9736390664034981,-0.7862626818170086,-0.5587402079844029,-0.9240715689157217,-0.2572294077449943,-0.21783372251022529,-0.24124895481858055,0.5945794628601436,-0.3517100082089894,-0.3330375807483606,-0.3652937577750626,-0.6739509184955838,-0.23420572297684056,-0.25054134274102896,-0.3170696625736274,-0.17013848722211583,-0.4011496463228703,-0.23952222949901086,-0.34581548170056553,-0.3076004193037554
Lo-LT67,-0.23199469845727216,8.713384929123587,-0.1464597543788296,6.377042156569662,-0.08980265101338718,-0.4183843054106298,-0.201701419959597,-0.2102144765190232,-0.047098822494743224,-0.26161654264511136,-0.07088812050083397,-0.16972502573910664,1.6589332726554737,-0.3709992580022288,-0.1847326808984635,-0.07088812050083385,-0.07088812050083389,-0.07769309688655061,-0.09529814069846951,-0.2882125792962005,-0.4088212612101356,-0.4291405294522033,-0.19601428307463392,-0.16698964031185903,-0.0839603800487206,-0.1275153426126669,-0.14285714285714224,-0.13225413988726928,-0.1633831238975997,-0.16338312389760043,-0.2136521838204528,-0.19324698792024833,-0.27645300649633375,-0.1534322437718477,-0.07769309688655139,-0.09529814069847017,-0.14998295745037918,-0.445647616850132,-0.11476596157913524,-0.09529814069847005,-0.25317216319399355,-0.15729003520547066,-0.10050378152592128,-0.13150664608837037,-0.41669619550457015,-0.1568125120467959,-0.1102077537555958,-0.0708881205008339,-0.2616165426451115,-0.08396038004872097,-0.13538810472195634,-0.06337242505244768,-0.27478362283816354,-0.11020775375559592,-0.11020775375559654,-0.08396038004871993,-0.08396038004872006,-0.07088812050083376,-0.11020775375559645,-0.31939804844445513,-0.2603514080593165,-0.20938322787871336,-0.3128532084221271,-0.07769309688655016,-0.09529814069847026,-0.08396038004872074,-0.2892137886774005,-0.12751534261266723,-0.11020775375559602,-0.10947155477532308,-0.23908057580332848,-0.0776930968865502,-0.031638599858416404,-0.11136392397744672,-0.3954110917457378,-0.15343224377184778,-0.09529814069846984,-0.14285714285714307,-0.4036129112289066
a-PLP251,-0.6487878010507436,-0.346988959179747,-0.35480275359153846,-0.5030000003182612,-0.2527855322222451,-1.3185487340182185,-0.6194155380718568,3.2770133870365448,-0.26161654264511136,-0.10209247270506124,-0.2726786455393382,-0.4525076902521988,-0.06585880395664594,0.4279145983250141,1.512087823985317,-0.25974269357686963,-0.25093627726270784,-0.26809715605695117,-0.23908057580332884,1.2867048801224226,-0.6086990560142226,-0.7481190655528949,-0.6437003030370495,1.30714670396107,-0.24140625836710775,-0.4365440186426934,2.431849221234888,-0.4202183530084114,-0.5171633366284937,-0.5449481194345502,0.7866187393843317,-0.5729454279043729,-0.8662306511370156,-0.37564964919548866,-0.2550147534061238,-0.2464188918732397,-0.42611218354325026,0.009459034323318134,-0.4312559522477971,-0.27736089379583145,0.38587391517708913,-0.49895961673270767,-0.3929657698815432,-0.39239551579574944,0.23694549543291596,-0.5137003722246349,-0.36835431600672636,-0.29765385228677493,-0.8549275471984226,-0.25890435250935745,-0.3461311008444519,-0.2503981951023614,-0.8134765113447618,2.3381524458510206,-0.24704742598720628,-0.2710713640297912,-0.2378742204102249,-0.29223314743765477,-0.2597933702191317,-1.1156565186761815,0.34214267401426934,-0.6033517254016081,-0.9811151335738807,-0.2747836228381633,-0.25501475340612384,-0.2680971560569505,-0.8521506971766032,-0.39708774432755956,-0.37102079154518375,-0.4509373212848368,-0.7915937385624573,-0.24140625836710833,-0.25760033124253995,-0.3569045395458465,1.18640599466967,-0.45812334129441445,-0.2680971560569515,-0.44721359549996,-1.3018669903837752
