,Simulation,Number of KCg-ds in left hemisphere receiving identical inputs in the right hemisphere
0,0,14
1,1,9
2,2,12
3,3,10
4,4,11
5,5,11
6,6,15
7,7,15
8,8,16
9,9,6
10,10,13
11,11,12
12,12,19
13,13,13
14,14,18
15,15,7
16,16,7
17,17,16
18,18,6
19,19,24
20,20,9
21,21,13
22,22,13
23,23,14
24,24,14
25,25,8
26,26,14
27,27,18
28,28,17
29,29,11
30,30,11
31,31,16
32,32,8
33,33,4
34,34,14
35,35,11
36,36,18
37,37,11
38,38,13
39,39,9
40,40,13
41,41,21
42,42,9
43,43,9
44,44,8
45,45,17
46,46,21
47,47,5
48,48,14
49,49,15
50,50,13
51,51,13
52,52,12
53,53,11
54,54,8
55,55,16
56,56,13
57,57,12
58,58,9
59,59,16
60,60,17
61,61,14
62,62,11
63,63,11
64,64,14
65,65,11
66,66,8
67,67,13
68,68,9
69,69,16
70,70,14
71,71,9
72,72,13
73,73,9
74,74,14
75,75,9
76,76,16
77,77,7
78,78,5
79,79,7
80,80,5
81,81,18
82,82,8
83,83,7
84,84,12
85,85,11
86,86,11
87,87,14
88,88,12
89,89,13
90,90,11
91,91,11
92,92,11
93,93,10
94,94,10
95,95,8
96,96,11
97,97,7
98,98,12
99,99,12
100,100,6
101,101,12
102,102,16
103,103,12
104,104,19
105,105,10
106,106,19
107,107,8
108,108,11
109,109,13
110,110,8
111,111,7
112,112,14
113,113,7
114,114,10
115,115,10
116,116,14
117,117,11
118,118,9
119,119,9
120,120,14
121,121,14
122,122,15
123,123,13
124,124,14
125,125,9
126,126,9
127,127,10
128,128,17
129,129,19
130,130,16
131,131,12
132,132,15
133,133,14
134,134,14
135,135,9
136,136,8
137,137,13
138,138,11
139,139,14
140,140,7
141,141,15
142,142,9
143,143,11
144,144,14
145,145,19
146,146,17
147,147,10
148,148,10
149,149,11
150,150,15
151,151,11
152,152,16
153,153,17
154,154,9
155,155,10
156,156,8
157,157,15
158,158,17
159,159,13
160,160,16
161,161,9
162,162,14
163,163,9
164,164,11
165,165,16
166,166,8
167,167,9
168,168,10
169,169,13
170,170,15
171,171,12
172,172,5
173,173,13
174,174,15
175,175,17
176,176,11
177,177,8
178,178,12
179,179,12
180,180,14
181,181,16
182,182,18
183,183,14
184,184,21
185,185,17
186,186,14
187,187,18
188,188,14
189,189,13
190,190,12
191,191,14
192,192,9
193,193,15
194,194,13
195,195,18
196,196,23
197,197,9
198,198,11
199,199,15
200,200,9
201,201,16
202,202,13
203,203,15
204,204,10
205,205,8
206,206,13
207,207,14
208,208,12
209,209,11
210,210,4
211,211,15
212,212,13
213,213,13
214,214,11
215,215,9
216,216,13
217,217,15
218,218,11
219,219,13
220,220,15
221,221,17
222,222,12
223,223,13
224,224,9
225,225,19
226,226,8
227,227,17
228,228,7
229,229,15
230,230,13
231,231,16
232,232,12
233,233,12
234,234,12
235,235,10
236,236,5
237,237,11
238,238,17
239,239,12
240,240,9
241,241,12
242,242,15
243,243,12
244,244,12
245,245,18
246,246,8
247,247,10
248,248,8
249,249,21
250,250,10
251,251,17
252,252,11
253,253,17
254,254,14
255,255,14
256,256,16
257,257,16
258,258,11
259,259,14
260,260,9
261,261,8
262,262,10
263,263,22
264,264,11
265,265,14
266,266,8
267,267,15
268,268,16
269,269,14
270,270,14
271,271,20
272,272,15
273,273,22
274,274,14
275,275,12
276,276,14
277,277,12
278,278,9
279,279,7
280,280,14
281,281,11
282,282,14
283,283,14
284,284,9
285,285,15
286,286,15
287,287,21
288,288,12
289,289,15
290,290,8
291,291,10
292,292,16
293,293,14
294,294,12
295,295,16
296,296,13
297,297,9
298,298,11
299,299,13
300,300,19
301,301,8
302,302,8
303,303,10
304,304,12
305,305,13
306,306,15
307,307,6
308,308,12
309,309,12
310,310,13
311,311,12
312,312,11
313,313,13
314,314,10
315,315,18
316,316,9
317,317,11
318,318,15
319,319,12
320,320,13
321,321,3
322,322,6
323,323,9
324,324,16
325,325,10
326,326,15
327,327,14
328,328,9
329,329,10
330,330,17
331,331,6
332,332,11
333,333,14
334,334,14
335,335,10
336,336,17
337,337,12
338,338,9
339,339,13
340,340,18
341,341,18
342,342,23
343,343,12
344,344,14
345,345,15
346,346,14
347,347,10
348,348,9
349,349,17
350,350,14
351,351,11
352,352,19
353,353,15
354,354,15
355,355,12
356,356,15
357,357,10
358,358,13
359,359,13
360,360,13
361,361,13
362,362,18
363,363,9
364,364,8
365,365,8
366,366,11
367,367,11
368,368,10
369,369,12
370,370,15
371,371,1
372,372,12
373,373,9
374,374,19
375,375,16
376,376,14
377,377,14
378,378,13
379,379,10
380,380,12
381,381,12
382,382,10
383,383,14
384,384,15
385,385,19
386,386,12
387,387,9
388,388,18
389,389,16
390,390,16
391,391,11
392,392,7
393,393,12
394,394,20
395,395,8
396,396,15
397,397,16
398,398,12
399,399,15
