,Simulation,Number of KCs in left hemisphere receiving identical inputs in the right hemisphere
0,0,24
1,1,28
2,2,27
3,3,26
4,4,25
5,5,22
6,6,26
7,7,20
8,8,26
9,9,26
10,10,19
11,11,19
12,12,28
13,13,22
14,14,20
15,15,23
16,16,28
17,17,22
18,18,23
19,19,29
20,20,16
21,21,28
22,22,22
23,23,26
24,24,21
25,25,25
26,26,25
27,27,24
28,28,27
29,29,29
30,30,25
31,31,27
32,32,27
33,33,30
34,34,20
35,35,21
36,36,22
37,37,24
38,38,29
39,39,25
40,40,21
41,41,27
42,42,19
43,43,31
44,44,26
45,45,27
46,46,25
47,47,22
48,48,24
49,49,20
50,50,25
51,51,32
52,52,22
53,53,26
54,54,21
55,55,18
56,56,26
57,57,31
58,58,23
59,59,25
60,60,25
61,61,22
62,62,23
63,63,22
64,64,26
65,65,27
66,66,31
67,67,23
68,68,20
69,69,26
70,70,22
71,71,25
72,72,22
73,73,27
74,74,27
75,75,28
76,76,22
77,77,26
78,78,26
79,79,23
80,80,26
81,81,17
82,82,19
83,83,23
84,84,19
85,85,25
86,86,21
87,87,28
88,88,23
89,89,25
90,90,28
91,91,27
92,92,23
93,93,22
94,94,22
95,95,18
96,96,21
97,97,30
98,98,23
99,99,26
100,100,25
101,101,27
102,102,22
103,103,22
104,104,24
105,105,24
106,106,20
107,107,24
108,108,25
109,109,24
110,110,20
111,111,21
112,112,27
113,113,20
114,114,25
115,115,25
116,116,24
117,117,30
118,118,22
119,119,23
120,120,24
121,121,19
122,122,21
123,123,14
124,124,26
125,125,22
126,126,22
127,127,19
128,128,23
129,129,24
130,130,22
131,131,26
132,132,27
133,133,24
134,134,27
135,135,26
136,136,17
137,137,23
138,138,24
139,139,21
140,140,24
141,141,26
142,142,22
143,143,25
144,144,26
145,145,17
146,146,28
147,147,18
148,148,24
149,149,31
150,150,25
151,151,22
152,152,29
153,153,21
154,154,23
155,155,21
156,156,27
157,157,25
158,158,23
159,159,18
160,160,22
161,161,16
162,162,28
163,163,21
164,164,24
165,165,19
166,166,25
167,167,21
168,168,26
169,169,18
170,170,23
171,171,23
172,172,25
173,173,24
174,174,25
175,175,22
176,176,22
177,177,21
178,178,21
179,179,22
180,180,26
181,181,23
182,182,18
183,183,25
184,184,23
185,185,26
186,186,22
187,187,19
188,188,25
189,189,30
190,190,30
191,191,26
192,192,26
193,193,22
194,194,17
195,195,23
196,196,16
197,197,22
198,198,22
199,199,25
200,200,34
201,201,23
202,202,28
203,203,21
204,204,23
205,205,23
206,206,23
207,207,24
208,208,23
209,209,29
210,210,27
211,211,20
212,212,20
213,213,27
214,214,22
215,215,21
216,216,29
217,217,27
218,218,18
219,219,30
220,220,22
221,221,26
222,222,24
223,223,28
224,224,27
225,225,27
226,226,30
227,227,22
228,228,21
229,229,29
230,230,26
231,231,19
232,232,32
233,233,24
234,234,24
235,235,28
236,236,30
237,237,24
238,238,24
239,239,23
240,240,30
241,241,24
242,242,23
243,243,19
244,244,23
245,245,30
246,246,19
247,247,17
248,248,22
249,249,17
250,250,24
251,251,21
252,252,26
253,253,22
254,254,26
255,255,29
256,256,24
257,257,26
258,258,20
259,259,19
260,260,22
261,261,29
262,262,24
263,263,22
264,264,24
265,265,30
266,266,26
267,267,30
268,268,24
269,269,18
270,270,24
271,271,26
272,272,28
273,273,21
274,274,22
275,275,22
276,276,21
277,277,26
278,278,20
279,279,22
280,280,32
281,281,27
282,282,30
283,283,26
284,284,21
285,285,25
286,286,21
287,287,27
288,288,22
289,289,24
290,290,22
291,291,25
292,292,24
293,293,25
294,294,19
295,295,29
296,296,27
297,297,26
298,298,27
299,299,21
300,300,22
301,301,23
302,302,27
303,303,20
304,304,24
305,305,25
306,306,26
307,307,18
308,308,20
309,309,29
310,310,19
311,311,20
312,312,26
313,313,27
314,314,15
315,315,23
316,316,22
317,317,29
318,318,21
319,319,16
320,320,22
321,321,20
322,322,21
323,323,26
324,324,27
325,325,29
326,326,23
327,327,29
328,328,26
329,329,33
330,330,22
331,331,21
332,332,16
333,333,19
334,334,17
335,335,17
336,336,22
337,337,22
338,338,28
339,339,27
340,340,25
341,341,20
342,342,27
343,343,25
344,344,21
345,345,26
346,346,20
347,347,29
348,348,25
349,349,27
350,350,25
351,351,23
352,352,28
353,353,23
354,354,26
355,355,23
356,356,28
357,357,21
358,358,23
359,359,17
360,360,22
361,361,18
362,362,24
363,363,20
364,364,29
365,365,20
366,366,26
367,367,21
368,368,26
369,369,22
370,370,19
371,371,24
372,372,23
373,373,22
374,374,24
375,375,20
376,376,26
377,377,22
378,378,25
379,379,25
380,380,27
381,381,26
382,382,25
383,383,29
384,384,23
385,385,20
386,386,26
387,387,27
388,388,21
389,389,23
390,390,21
391,391,19
392,392,20
393,393,20
394,394,19
395,395,29
396,396,29
397,397,19
398,398,23
399,399,30
400,400,24
401,401,28
402,402,23
403,403,23
404,404,27
405,405,20
406,406,24
407,407,24
408,408,20
409,409,26
410,410,21
411,411,25
412,412,17
413,413,24
414,414,30
415,415,25
416,416,20
417,417,21
418,418,19
419,419,30
420,420,19
421,421,29
422,422,21
423,423,17
424,424,27
425,425,20
426,426,17
427,427,23
428,428,25
429,429,18
430,430,22
431,431,23
432,432,32
433,433,27
434,434,22
435,435,21
436,436,22
437,437,32
438,438,26
439,439,20
440,440,27
441,441,25
442,442,25
443,443,25
444,444,22
445,445,19
446,446,26
447,447,19
448,448,27
449,449,20
450,450,27
451,451,23
452,452,28
453,453,24
454,454,21
455,455,26
456,456,19
457,457,27
458,458,20
459,459,23
460,460,22
461,461,26
462,462,22
463,463,28
464,464,23
465,465,25
466,466,29
467,467,28
468,468,18
469,469,33
470,470,24
471,471,24
472,472,27
473,473,33
474,474,28
475,475,29
476,476,25
477,477,24
478,478,23
479,479,26
480,480,29
481,481,24
482,482,25
483,483,18
484,484,23
485,485,23
486,486,21
